"","mean","sd","2.5%","50%","97.5%","Rhat","n.eff"
"N[1]",48.8446666666667,8.00372468684506,35,48,66.0249999999996,1,5840
"N[2]",49.3215333333333,7.06556044900328,37,49,65,1,4501
"N[3]",56.665,9.04905707954897,41,56,77,1,4676
"Nsuper",81.7476,11.7312859103883,62,81,107,1,3087
"R[2]",13.8829333333333,6.41861682698749,3,13,28,1,4298
"R[3]",19.02,7.9745912919567,5,18,37,1,3400
"beta.dens",0.200931734581463,0.177686227028863,-0.156993901351516,0.204708786682903,0.547597058383393,1.01,393
"gamma[1]",0.123908702242569,0.0256102781530278,0.0792440679173447,0.122277511976501,0.177769580103216,1,6653
"gamma[2]",0.0422437348627575,0.021028772353492,0.00787057240039988,0.0400055798094917,0.0900212419535325,1,4403
"gamma[3]",0.0587935864887649,0.0267984528969639,0.0146528034239757,0.0557593565444174,0.119000757003398,1,3489
"p0",0.0104941402247181,0.00129549822246097,0.00813427752189051,0.0104236174176708,0.0132144945579712,1,3793
"pc.gam[2]",0.296450551218781,0.153136833551233,0.05,0.277777777777778,0.65,1,5276
"pc.gam[3]",0.396978316839581,0.181272023559101,0.0952380952380952,0.375,0.806503088538091,1,3595
"phi",0.741345437791275,0.0811102773283609,0.577616434889287,0.742962162640086,0.892512417234821,1,3487
"sigD",0.90819333938812,0.302453005506072,0.389934887178585,0.880948405844264,1.57373574905158,1.01,342
"sigma",1.39138594471834,0.0821972907944808,1.24406680839961,1.38704639325744,1.56390314451733,1,1352
