ITINERARI,SECCIO,LENGTH,SOURCETHM,X_MID,Y_MID,X_BEG,Y_BEG,Y_END,X_END,BUFF_DIST,ORIG_FID,_count,_sum,_mean
"286","1",467.31633602100,Itineraris.shp,382003.18163599999,4634128.45478000026,382000.45789999998,4633933.72339999955,4634271.17399999965,382140.53590000002,500.00000000000,"0",12085.000000000000000,100446.400108695030212,8.311659090500211
"286","2",537.97111370100,Itineraris.shp,382334.21435000002,4634456.82015999965,382140.53590000002,4634271.17399999965,4634631.42599999998,382536.00060000003,500.00000000000,"1",13229.000000000000000,109499.014155864715576,8.277195113452620
"286","3",520.75194461500,Itineraris.shp,382670.62591300003,4634840.83698000014,382536.00060000003,4634631.42599999998,4634991.67810000014,382870.52029999997,500.00000000000,"2",12966.000000000000000,107154.865649163737544,8.264296286376966
"286","4",475.15560734000,Itineraris.shp,383027.14286099997,4635157.19797000010,382862.39439999999,4634991.67810000014,4635200.24509999994,383248.37870000000,500.00000000000,"3",12480.000000000000000,103448.222630321979523,8.289120403070672
"286","5",510.60846630200,Itineraris.shp,383384.16476499999,4635405.97843000013,383240.25270000001,4635198.89070000034,4635469.75690000039,383581.54410000000,500.00000000000,"4",12738.000000000000000,108659.834460794925690,8.530368539864572
"286","6",490.68812463400,Itineraris.shp,383811.69547099998,4635522.86137000006,383576.12680000003,4635476.52859999985,4635579.45770000014,384033.89069999999,500.00000000000,"5",12643.000000000000000,111657.242668926715851,8.831546521310347
"1","1",526.59010627600,Itineraris.shp,337094.34887500003,4590730.39278000034,337191.82699999999,4590542.90270000044,4590855.90539999958,336947.35149999999,500.00000000000,"6",12298.000000000000000,68532.291040122509003,5.572637098725200
"1","2",455.74242070800,Itineraris.shp,336806.65901100001,4591007.62781000044,336947.35149999999,4590855.90539999958,4591093.89859999996,336624.16230000003,500.00000000000,"7",12018.000000000000000,64548.280398353934288,5.370966916155262
"1","3",541.32918494700,Itineraris.shp,336479.57904799999,4591304.79846999981,336624.16230000003,4591093.89859999996,4591530.06510000024,336369.50040000002,500.00000000000,"8",13018.000000000000000,66914.394273251295090,5.140143975514772
"1","4",460.20453865800,Itineraris.shp,336253.75923299999,4591697.97893999983,336369.50040000002,4591530.06510000024,4591796.76559999958,336087.98310000001,500.00000000000,"9",12038.000000000000000,60910.036813214428548,5.059813657851340
"1","5",514.68805922800,Itineraris.shp,335894.40914499998,4591904.00839000009,336087.98310000001,4591796.76559999958,4592078.28289999999,335745.34700000001,500.00000000000,"10",12601.000000000000000,59396.590323552482005,4.713641006551266
"1","6",504.24063058900,Itineraris.shp,335531.54337199999,4592143.40029000025,335745.34700000001,4592078.28289999999,4592148.66220000014,335339.73999999999,500.00000000000,"11",12162.000000000000000,59002.924544945359230,4.851416259245632
"2","1",473.90186865800,Itineraris.shp,344893.89972699998,4722602.93336000014,344984.44099999999,4722409.80979999993,4722761.70639999956,344767.74680000002,500.00000000000,"12",12304.000000000000000,127299.935480803251266,10.346223624902734
"2","2",640.40816175000,Itineraris.shp,344476.23596700002,4722881.18333999999,344767.74680000002,4722761.70639999956,4723046.92779999971,344211.45919999998,500.00000000000,"13",14196.000000000000000,141328.527604699134827,9.955517582748600
"2","3",777.01413776900,Itineraris.shp,343856.11639200000,4723191.62308000028,344211.45919999998,4723046.92779999971,4723422.63690000027,343549.99959999998,500.00000000000,"14",15562.000000000000000,137909.246273308992386,8.861923035169580
"2","4",328.70922327900,Itineraris.shp,343402.04823399999,4723415.86053000018,343549.99959999998,4723422.63690000027,4723470.26200000010,343251.01980000001,500.00000000000,"15",11034.000000000000000,92486.729700088500977,8.381976590546358
